,p_0,p_1,p_2,p_3,p_4,p_5,p_6
185,0.015542815,0.03693969,0.011134134,0.063734494,0.01645972,0.021213485,0.036089763
186,0.017825782,0.03903787,0.0126667395,0.066531636,0.01946181,0.023233153,0.040618263
187,0.019556796,0.039678548,0.0123849455,0.06420735,0.019317502,0.023121737,0.039881717
188,0.015417783,0.03440067,0.010241557,0.059382457,0.015610516,0.020831872,0.034247685
189,0.016992316,0.0390962,0.0122158285,0.06586504,0.017726567,0.022552045,0.03801685
190,0.016835852,0.039496057,0.012239419,0.06545167,0.017800763,0.022425242,0.038154118
191,0.016531216,0.03809305,0.011747561,0.062353406,0.018077495,0.021637196,0.03814019
192,0.017924823,0.03979381,0.012551596,0.063555926,0.02119762,0.022357928,0.04218196
193,0.02114668,0.042905428,0.013899293,0.064539924,0.023528667,0.023120109,0.04500262
194,0.02708569,0.049315237,0.016739406,0.06963892,0.026445227,0.024885552,0.049217615
195,0.019063085,0.037988503,0.012069831,0.059805367,0.017176725,0.020257685,0.036541294
196,0.019128446,0.03969843,0.012795958,0.067180894,0.017195757,0.022111963,0.036223587
197,0.025951672,0.044505447,0.016971907,0.064355426,0.025886951,0.024611514,0.048934698
198,0.0151461065,0.03399807,0.011197295,0.061242566,0.018259231,0.020947656,0.03852545
199,0.017381284,0.039394185,0.013447902,0.06986506,0.02026682,0.022904333,0.041550994
200,0.024746897,0.044527628,0.015737236,0.06289855,0.025519935,0.024248675,0.046956874
201,0.028552284,0.045711216,0.016674872,0.07785814,0.0271058,0.03074463,0.049099635
202,0.043367244,0.057304095,0.021707468,0.068824485,0.036612093,0.03057273,0.058973223
203,0.01889295,0.035954297,0.010728475,0.05609605,0.017145624,0.020841269,0.035140578
204,0.10057276,0.121063724,0.031773377,0.11685814,0.04272379,0.03208513,0.067529574
205,0.019473385,0.041759472,0.014439912,0.07188155,0.02154003,0.023688009,0.043311235
206,0.032982994,0.042145036,0.018254114,0.05347691,0.033385754,0.027483765,0.05487976
207,0.06435616,0.08735757,0.029612452,0.10558616,0.047988255,0.040641822,0.07035974
208,0.28406575,0.27706942,0.0712058,0.20399149,0.08452281,0.054698925,0.11372199
209,0.09537842,0.07453629,0.035045765,0.08011909,0.04672001,0.03993918,0.06976246
210,0.101194054,0.09144087,0.03925458,0.10169627,0.047872134,0.043050542,0.071407214
