,index,p_0,p_1,p_2,p_3,p_4,p_5,p_6
86,2586,0.020545995,0.043170076,0.013676793,0.08008413,0.02039587,0.024848625,0.04042038
87,2587,0.059251115,0.06917107,0.027452672,0.09272401,0.03424657,0.04038527,0.058294732
88,2588,0.12492387,0.0898006,0.044146884,0.09308656,0.056024633,0.051697124,0.0819926
89,2589,0.33398622,0.27785948,0.094571695,0.22018348,0.07743152,0.055485357,0.11260768
90,2590,0.082410485,0.059020232,0.050648544,0.08594,0.056715112,0.05466906,0.08391113
91,2591,0.05437499,0.045709647,0.038461015,0.08103687,0.055917576,0.040911064,0.08863147
92,2592,0.06452028,0.056086294,0.045360427,0.08857598,0.0640054,0.04706952,0.099966854
93,2593,0.19666593,0.14565732,0.282126,0.20281914,0.22744103,0.3705071,0.38505876
94,2594,0.08890287,0.06725364,0.104096025,0.12454997,0.14419647,0.14413801,0.21223864
95,2595,0.05718081,0.033322945,0.038499035,0.053903263,0.045283087,0.043421164,0.07994193
96,2596,0.05849946,0.03430118,0.03673185,0.05834017,0.03634937,0.029971793,0.065348685
97,2597,0.07101086,0.03930962,0.045092918,0.06378925,0.04187731,0.04037322,0.0726341
98,2598,0.0460631,0.031062035,0.02971039,0.06293976,0.036356773,0.02913976,0.06533222
99,2599,0.042623136,0.031714752,0.02835629,0.058589734,0.03386228,0.028618203,0.06393378
100,2600,0.085686825,0.063223585,0.10058309,0.11314367,0.10852666,0.13433044,0.18000647
101,2601,0.20082292,0.13346906,0.32274896,0.17469472,0.17818308,0.47442025,0.40291533
102,2602,0.07492267,0.069350034,0.10540052,0.14968614,0.15023623,0.15079133,0.2266988
103,2603,0.19943418,0.15356466,0.3506005,0.2537398,0.26445386,0.42690027,0.4836051
104,2604,0.3207188,0.21410622,0.5182448,0.24862714,0.20326611,0.5651946,0.5622533
105,2605,0.11192487,0.083434805,0.12760642,0.16651651,0.11913507,0.111848205,0.1811492
106,2606,0.05790612,0.033646155,0.042935837,0.061196074,0.041018855,0.04445641,0.07474774
107,2607,0.109691575,0.052694034,0.087331794,0.082861766,0.06261795,0.08154869,0.10481633
108,2608,0.10241775,0.058458593,0.045897286,0.07351498,0.04416807,0.044220034,0.0691581
109,2609,0.07025132,0.05664906,0.05462921,0.09584666,0.06363053,0.040762123,0.10239204
110,2610,0.070818126,0.044057183,0.044678673,0.073094666,0.039637323,0.03423231,0.06973343
111,2611,0.17450856,0.13712128,0.055033863,0.12379453,0.05378645,0.043660183,0.08154921
112,2612,0.2513086,0.2285972,0.064372465,0.19067042,0.05511369,0.043273255,0.08499864
113,2613,0.09876017,0.083968565,0.036385644,0.09342227,0.03891258,0.03504118,0.062244967
114,2614,0.05273603,0.0517819,0.032886248,0.08166073,0.046950128,0.037058443,0.07523902
115,2615,0.091872446,0.11998689,0.031827413,0.13109004,0.04279789,0.03646365,0.067809895
116,2616,0.120405145,0.091719754,0.052893832,0.10386019,0.04700773,0.04328524,0.07370841
117,2617,0.10254774,0.11744321,0.037796427,0.12910523,0.043744754,0.040233254,0.06853848
118,2618,0.1658768,0.21769245,0.051398687,0.21707472,0.06928358,0.052931346,0.097909376
119,2619,0.21117023,0.2705572,0.05996372,0.22885185,0.07398858,0.04901091,0.10238086
120,2620,0.11276141,0.116594724,0.038389187,0.12287278,0.044214383,0.039158124,0.06818981
121,2621,0.25521654,0.3034147,0.059729148,0.24058594,0.07685397,0.0453055,0.10718474
122,2622,0.13043216,0.11922348,0.043712903,0.1237817,0.054240335,0.04502145,0.081378095
123,2623,0.14743075,0.20557657,0.04385963,0.19871193,0.05319644,0.038983215,0.0811443
124,2624,0.1779712,0.23324023,0.051321056,0.23129559,0.053526215,0.038830046,0.085657276
125,2625,0.29923123,0.3062164,0.07980174,0.2417575,0.07001876,0.050040603,0.10396637
126,2626,0.08150053,0.09145638,0.030673506,0.10578655,0.041588627,0.038217444,0.064847626
127,2627,0.28191143,0.35364485,0.07061293,0.26610863,0.05770873,0.039010387,0.09918274
128,2628,0.07042018,0.06976446,0.03239864,0.08555596,0.038397193,0.033527654,0.060699467
129,2629,0.06752041,0.053744458,0.03489556,0.07130116,0.041726295,0.040254693,0.067324065
130,2630,0.051355682,0.068371154,0.026481172,0.08291266,0.037522063,0.035055038,0.060448218
131,2631,0.038807727,0.05844698,0.022361748,0.08539761,0.035797477,0.033234887,0.058600113
132,2632,0.13288341,0.17275387,0.04415532,0.17132261,0.060527723,0.044109344,0.087811865
133,2633,0.09059513,0.121072695,0.037159145,0.14355496,0.04362907,0.040972814,0.07098435
134,2634,0.14918439,0.19479361,0.044950593,0.18347076,0.05457827,0.04061138,0.08100738
135,2635,0.25355843,0.28100115,0.067546554,0.22646931,0.06926715,0.048057567,0.10018859
136,2636,0.21565844,0.2663794,0.061725937,0.23553121,0.06115216,0.04439271,0.094177455
137,2637,0.25382155,0.2633063,0.0632166,0.19655535,0.06917492,0.046651185,0.10011896
138,2638,0.09632857,0.1252011,0.037686963,0.14244401,0.05339204,0.041946445,0.07889282
139,2639,0.06398817,0.07328436,0.02889652,0.09228612,0.04307008,0.03889574,0.06579688
140,2640,0.33073896,0.3573397,0.08828866,0.27499893,0.08102877,0.05713189,0.11890329
141,2641,0.13155757,0.13557982,0.041806035,0.13353738,0.044495177,0.039725963,0.0696457
142,2642,0.34698954,0.37310004,0.07777587,0.2771883,0.07332473,0.044156272,0.11113423
143,2643,0.035990644,0.046664104,0.021231694,0.062286958,0.030350883,0.026817767,0.05336622
144,2644,0.26046008,0.1918292,0.07314606,0.15438226,0.0708212,0.061673526,0.100515194
145,2645,0.123965934,0.08144793,0.048712708,0.086814724,0.043629188,0.043279678,0.06818932
146,2646,0.11557346,0.064933255,0.06442833,0.08016582,0.049619924,0.054608986,0.081466116
147,2647,0.08785955,0.051572647,0.08434502,0.0947037,0.07712503,0.10282205,0.12823527
148,2648,0.087897666,0.05322546,0.07323458,0.084924534,0.08316471,0.07278229,0.13211516
149,2649,0.12659423,0.07274335,0.123803526,0.11884997,0.12774992,0.13168393,0.19006254
150,2650,0.1119108,0.06264992,0.08387493,0.0881898,0.07347439,0.06436846,0.11791445
151,2651,0.060946733,0.030817144,0.03450738,0.054210257,0.034236975,0.036336713,0.062224533
152,2652,0.07082686,0.03879427,0.05752034,0.080921225,0.05382182,0.05714763,0.09493211
153,2653,0.16735525,0.11430746,0.28062597,0.1765485,0.18213622,0.4280643,0.3752417
154,2654,0.223321,0.14273167,0.4098967,0.19839884,0.1764881,0.59208053,0.47594625
155,2655,0.13525358,0.10077768,0.1989463,0.16670923,0.1680156,0.23484392,0.27495712
156,2656,0.13596953,0.104315504,0.15421163,0.1516347,0.1835621,0.15196134,0.26057673
157,2657,0.46382916,0.30546802,0.73449093,0.23560609,0.12120156,0.73833734,0.70192695
158,2658,0.15426564,0.09561237,0.19955985,0.1703926,0.122738086,0.18971913,0.21519311
159,2659,0.05953229,0.046047565,0.053058267,0.11355702,0.046708588,0.047444865,0.086344145
160,2660,0.13335341,0.06327817,0.12823068,0.0991137,0.086086616,0.10513783,0.1430376
161,2661,0.095871076,0.063893795,0.065111585,0.09708185,0.07147522,0.057255413,0.10553585
162,2662,0.08926512,0.06458564,0.07092857,0.11386881,0.0667025,0.052276567,0.10698373
163,2663,0.06435774,0.039052676,0.04060988,0.0695267,0.03543309,0.029998524,0.06540968
